State,District,Season,Soil_Type,Min_pH,Max_pH,Primary_Recommended_Crops,lookup_key
Andhra Pradesh,NTR,Rabi,Alluvial Loam / Red Clay Mixed,6.5,8.0,"Blackgram, Greengram, Maize, Chillies, Tobacco",andhra pradesh|ntr|rabi|alluvial loam / red clay mixed
Andhra Pradesh,NTR,Zaid,Alluvial Loam / Red Clay Mixed,6.5,8.0,"Sesamum, Watermelon, Cucurbits, Vegetables",andhra pradesh|ntr|zaid|alluvial loam / red clay mixed
Andhra Pradesh,Palnadu,Kharif,Black Cotton Soil / Red Sandy Loam,7.0,8.5,"Cotton, Chillies, Redgram, Paddy, Sorghum",andhra pradesh|palnadu|kharif|black cotton soil / red sandy loam
Andhra Pradesh,Palnadu,Rabi,Black Cotton Soil / Red Sandy Loam,7.0,8.5,"Bengal Gram, Blackgram, Tobacco, Coriander",andhra pradesh|palnadu|rabi|black cotton soil / red sandy loam
Andhra Pradesh,Palnadu,Zaid,Black Cotton Soil / Red Sandy Loam,7.0,8.5,"Watermelon, Muskmelon, Sesamum, Fodder Sorghum",andhra pradesh|palnadu|zaid|black cotton soil / red sandy loam
Andhra Pradesh,Parvathipuram Manyam,Kharif,Red Gravelly / Forest Sandy Clay,5.8,7.2,"Paddy, Maize, Cashew, Ragi, Groundnut",andhra pradesh|parvathipuram manyam|kharif|red gravelly / forest sandy clay
Andhra Pradesh,Parvathipuram Manyam,Rabi,Red Gravelly / Forest Sandy Clay,5.8,7.2,"Blackgram, Greengram, Mustard, Sesame",andhra pradesh|parvathipuram manyam|rabi|red gravelly / forest sandy clay
Andhra Pradesh,Parvathipuram Manyam,Zaid,Red Gravelly / Forest Sandy Clay,5.8,7.2,"Cowpea, Vegetables, Sweet Potato, Watermelon",andhra pradesh|parvathipuram manyam|zaid|red gravelly / forest sandy clay
Andhra Pradesh,Prakasam,Kharif,Red Sandy Loam / Saline Black Soil,7.0,8.5,"Cotton, Redgram, Groundnut, Castor, Bajra",andhra pradesh|prakasam|kharif|red sandy loam / saline black soil
Andhra Pradesh,Prakasam,Rabi,Red Sandy Loam / Saline Black Soil,7.0,8.5,"Tobacco, Bengal Gram, Blackgram, Sunflower, Chickpea",andhra pradesh|prakasam|rabi|red sandy loam / saline black soil
Andhra Pradesh,Prakasam,Zaid,Red Sandy Loam / Saline Black Soil,7.0,8.5,"Watermelon, Muskmelon, Sesamum, Fodder Crops",andhra pradesh|prakasam|zaid|red sandy loam / saline black soil
Andhra Pradesh,Sri Potti Sriramulu Nellore,Kharif,Coastal Alluvial / Sandy Clay Loam,6.5,8.0,"Paddy, Sugarcane, Groundnut, Cotton",andhra pradesh|sri potti sriramulu nellore|kharif|coastal alluvial / sandy clay loam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Rabi,Coastal Alluvial / Sandy Clay Loam,6.5,8.0,"Paddy, Blackgram, Greengram, Tobacco",andhra pradesh|sri potti sriramulu nellore|rabi|coastal alluvial / sandy clay loam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Zaid,Coastal Alluvial / Sandy Clay Loam,6.5,8.0,"Sesamum, Watermelon, Cucurbits, Vegetables",andhra pradesh|sri potti sriramulu nellore|zaid|coastal alluvial / sandy clay loam
Andhra Pradesh,Sri Sathya Sai,Kharif,Red Sandy Soil / Shallow Red Loam,6.8,8.2,"Groundnut, Redgram, Maize, Cotton, Bajra",andhra pradesh|sri sathya sai|kharif|red sandy soil / shallow red loam
Andhra Pradesh,Sri Sathya Sai,Rabi,Red Sandy Soil / Shallow Red Loam,6.8,8.2,"Bengal Gram, Groundnut, Sunflower, Sorghum",andhra pradesh|sri sathya sai|rabi|red sandy soil / shallow red loam
Andhra Pradesh,Sri Sathya Sai,Zaid,Red Sandy Soil / Shallow Red Loam,6.8,8.2,"Watermelon, Muskmelon, Vegetables, Fodder Sorghum",andhra pradesh|sri sathya sai|zaid|red sandy soil / shallow red loam
Andhra Pradesh,Srikakulam,Kharif,Red Loam / Coastal Sandy Alluvial,6.0,7.5,"Paddy, Sugarcane, Cashew, Maize, Mesta (Jute)",andhra pradesh|srikakulam|kharif|red loam / coastal sandy alluvial
Andhra Pradesh,Srikakulam,Rabi,Red Loam / Coastal Sandy Alluvial,6.0,7.5,"Blackgram, Greengram, Groundnut, Sesamum",andhra pradesh|srikakulam|rabi|red loam / coastal sandy alluvial
Andhra Pradesh,Srikakulam,Zaid,Red Loam / Coastal Sandy Alluvial,6.0,7.5,"Sesamum, Cowpea, Cucurbits, Watermelon",andhra pradesh|srikakulam|zaid|red loam / coastal sandy alluvial
Andhra Pradesh,Tirupati,Kharif,Red Sandy Clay Loam / Coastal Sand,6.5,7.8,"Groundnut, Paddy, Sugarcane, Redgram",andhra pradesh|tirupati|kharif|red sandy clay loam / coastal sand
Andhra Pradesh,Tirupati,Rabi,Red Sandy Clay Loam / Coastal Sand,6.5,7.8,"Paddy, Groundnut, Blackgram, Greengram",andhra pradesh|tirupati|rabi|red sandy clay loam / coastal sand
Andhra Pradesh,Tirupati,Zaid,Red Sandy Clay Loam / Coastal Sand,6.5,7.8,"Watermelon, Vegetables, Sesamum, Cowpea",andhra pradesh|tirupati|zaid|red sandy clay loam / coastal sand
Andhra Pradesh,Visakhapatnam,Kharif,Red Loamy / Laterite Soil,6.0,7.5,"Paddy, Sugarcane, Maize, Ragi, Vegetables",andhra pradesh|visakhapatnam|kharif|red loamy / laterite soil
Andhra Pradesh,Visakhapatnam,Rabi,Red Loamy / Laterite Soil,6.0,7.5,"Blackgram, Greengram, Sweet Potato, Vegetables",andhra pradesh|visakhapatnam|rabi|red loamy / laterite soil
Andhra Pradesh,Visakhapatnam,Zaid,Red Loamy / Laterite Soil,6.0,7.5,"Vegetables, Cucurbits, Watermelon, Cowpea",andhra pradesh|visakhapatnam|zaid|red loamy / laterite soil
Andhra Pradesh,Vizianagaram,Kharif,Red Sandy Loam / Clay Loam,6.2,7.6,"Paddy, Sugarcane, Groundnut, Maize, Mesta",andhra pradesh|vizianagaram|kharif|red sandy loam / clay loam
Andhra Pradesh,Vizianagaram,Rabi,Red Sandy Loam / Clay Loam,6.2,7.6,"Blackgram, Greengram, Sesamum, Groundnut",andhra pradesh|vizianagaram|rabi|red sandy loam / clay loam
Andhra Pradesh,Vizianagaram,Zaid,Red Sandy Loam / Clay Loam,6.2,7.6,"Sesamum, Cucurbits, Vegetables, Watermelon",andhra pradesh|vizianagaram|zaid|red sandy loam / clay loam
Andhra Pradesh,West Godavari,Kharif,Rich Alluvial Silt Clay / Deltaic,6.2,7.8,"Paddy, Sugarcane, Maize, Banana",andhra pradesh|west godavari|kharif|rich alluvial silt clay / deltaic
Andhra Pradesh,West Godavari,Rabi,Rich Alluvial Silt Clay / Deltaic,6.2,7.8,"Paddy (Rabi), Blackgram, Greengram, Maize, Tobacco",andhra pradesh|west godavari|rabi|rich alluvial silt clay / deltaic
Andhra Pradesh,West Godavari,Zaid,Rich Alluvial Silt Clay / Deltaic,6.2,7.8,"Sesamum, Watermelon, Vegetables, Cowpea",andhra pradesh|west godavari|zaid|rich alluvial silt clay / deltaic
Andhra Pradesh,YSR Kadapa,Kharif,Red Clay / Heavy Black Cotton Soil,7.0,8.5,"Cotton, Groundnut, Redgram, Paddy, Turmeric, Banana",andhra pradesh|ysr kadapa|kharif|red clay / heavy black cotton soil
Andhra Pradesh,YSR Kadapa,Rabi,Red Clay / Heavy Black Cotton Soil,7.0,8.5,"Bengal Gram, Sorghum, Sunflower, Coriander, Onion",andhra pradesh|ysr kadapa|rabi|red clay / heavy black cotton soil
Andhra Pradesh,YSR Kadapa,Zaid,Red Clay / Heavy Black Cotton Soil,7.0,8.5,"Watermelon, Muskmelon, Papaya, Vegetables, Fodder Sorghum",andhra pradesh|ysr kadapa|zaid|red clay / heavy black cotton soil
Arunachal Pradesh,Anjaw,Kharif,Sub-Himalayan Acidic Soil / Humus-Rich Loam,4.5,5.8,"Maize, Rice, Cardamom, Buckwheat, Millets",arunachal pradesh|anjaw|kharif|sub-himalayan acidic soil / humus-rich loam
Arunachal Pradesh,Anjaw,Rabi,Sub-Himalayan Acidic Soil / Humus-Rich Loam,4.5,5.8,"Mustard, Pulses, Barley, Off-season Vegetables",arunachal pradesh|anjaw|rabi|sub-himalayan acidic soil / humus-rich loam
Arunachal Pradesh,Anjaw,Zaid,Sub-Himalayan Acidic Soil / Humus-Rich Loam,4.5,5.8,"Cucumber, Beans, Organic Vegetables, Maize (Green Ears)",arunachal pradesh|anjaw|zaid|sub-himalayan acidic soil / humus-rich loam
Arunachal Pradesh,Changlang,Kharif,Acidic Loamy / Sandy Loam Soil,5.0,6.2,"Paddy (WRC), Maize, Tea, Ginger, Turmeric",arunachal pradesh|changlang|kharif|acidic loamy / sandy loam soil
Arunachal Pradesh,Changlang,Rabi,Acidic Loamy / Sandy Loam Soil,5.0,6.2,"Mustard, Potato, Pulses, Vegetables",arunachal pradesh|changlang|rabi|acidic loamy / sandy loam soil
Arunachal Pradesh,Changlang,Zaid,Acidic Loamy / Sandy Loam Soil,5.0,6.2,"Watermelon, Cucurbits, Cowpea, Vegetables",arunachal pradesh|changlang|zaid|acidic loamy / sandy loam soil
Arunachal Pradesh,Dibang Valley,Kharif,Alpine / Mountainous Acidic Loam,4.5,5.5,"Maize, Paddy, Potato, Large Cardamom",arunachal pradesh|dibang valley|kharif|alpine / mountainous acidic loam
Arunachal Pradesh,Dibang Valley,Rabi,Alpine / Mountainous Acidic Loam,4.5,5.5,"Mustard, Peas, Barley, Cabbage/Cauliflower",arunachal pradesh|dibang valley|rabi|alpine / mountainous acidic loam
Arunachal Pradesh,Dibang Valley,Zaid,Alpine / Mountainous Acidic Loam,4.5,5.5,"Leafy Vegetables, Beans, Maize",arunachal pradesh|dibang valley|zaid|alpine / mountainous acidic loam
Arunachal Pradesh,East Kameng,Kharif,Red Clay Loam / Acidic Forest Soil,4.8,6.0,"Jhum Rice, WRC Rice, Maize, Millets, Ginger",arunachal pradesh|east kameng|kharif|red clay loam / acidic forest soil
Arunachal Pradesh,East Kameng,Rabi,Red Clay Loam / Acidic Forest Soil,4.8,6.0,"Mustard, Potato, Pulses, Cabbage",arunachal pradesh|east kameng|rabi|red clay loam / acidic forest soil
Arunachal Pradesh,East Kameng,Zaid,Red Clay Loam / Acidic Forest Soil,4.8,6.0,"Cucurbits, Cowpea, Maize, Vegetables",arunachal pradesh|east kameng|zaid|red clay loam / acidic forest soil
Arunachal Pradesh,East Siang,Kharif,Fertile Alluvial Loam / Silt Clay,5.5,6.8,"Paddy, Citrus (Orange), Sugarcane, Maize, Ginger",arunachal pradesh|east siang|kharif|fertile alluvial loam / silt clay
Arunachal Pradesh,East Siang,Rabi,Fertile Alluvial Loam / Silt Clay,5.5,6.8,"Mustard, Potato, Pulses, Tomato, Peas",arunachal pradesh|east siang|rabi|fertile alluvial loam / silt clay
Arunachal Pradesh,East Siang,Zaid,Fertile Alluvial Loam / Silt Clay,5.5,6.8,"Summer Moong, Watermelon, Cucurbits, Maize",arunachal pradesh|east siang|zaid|fertile alluvial loam / silt clay
Arunachal Pradesh,Kamle,Kharif,Acidic Mountainous Loam,4.8,6.0,"Paddy, Maize, Ginger, Turmeric, Millets",arunachal pradesh|kamle|kharif|acidic mountainous loam
Arunachal Pradesh,Kamle,Rabi,Acidic Mountainous Loam,4.8,6.0,"Mustard, Potato, Pulses, Winter Vegetables",arunachal pradesh|kamle|rabi|acidic mountainous loam
Arunachal Pradesh,Kamle,Zaid,Acidic Mountainous Loam,4.8,6.0,"Beans, Cucumber, Vegetables, Maize",arunachal pradesh|kamle|zaid|acidic mountainous loam
Arunachal Pradesh,Kra Daadi,Kharif,Hilly Forest Acidic Soil,4.5,5.8,"Jhum Paddy, Maize, Large Cardamom, Millets",arunachal pradesh|kra daadi|kharif|hilly forest acidic soil
Arunachal Pradesh,Kra Daadi,Rabi,Hilly Forest Acidic Soil,4.5,5.8,"Mustard, Potato, Peas, Radish",arunachal pradesh|kra daadi|rabi|hilly forest acidic soil
Arunachal Pradesh,Kra Daadi,Zaid,Hilly Forest Acidic Soil,4.5,5.8,"Local Cucurbits, Cowpea, Green Maize",arunachal pradesh|kra daadi|zaid|hilly forest acidic soil
Arunachal Pradesh,Kurung Kumey,Kharif,Hilly Forest Acidic Soil,4.5,5.8,"Paddy, Maize, Cardamom, Ginger, Tapioca",arunachal pradesh|kurung kumey|kharif|hilly forest acidic soil
Arunachal Pradesh,Kurung Kumey,Rabi,Hilly Forest Acidic Soil,4.5,5.8,"Mustard, Potato, Winter Vegetables",arunachal pradesh|kurung kumey|rabi|hilly forest acidic soil
Arunachal Pradesh,Kurung Kumey,Zaid,Hilly Forest Acidic Soil,4.5,5.8,"Cowpea, Beans, Cucurbits",arunachal pradesh|kurung kumey|zaid|hilly forest acidic soil
Arunachal Pradesh,Lepa Rada,Kharif,Sub-Tropical Clay Loam,5.0,6.2,"Paddy, Citrus (Mandarin), Maize, Ginger",arunachal pradesh|lepa rada|kharif|sub-tropical clay loam
Arunachal Pradesh,Lepa Rada,Rabi,Sub-Tropical Clay Loam,5.0,6.2,"Mustard, Potato, Peas, Cabbage",arunachal pradesh|lepa rada|rabi|sub-tropical clay loam
Arunachal Pradesh,Lepa Rada,Zaid,Sub-Tropical Clay Loam,5.0,6.2,"Cucurbits, Cowpea, Organic Vegetables",arunachal pradesh|lepa rada|zaid|sub-tropical clay loam
Arunachal Pradesh,Lohit,Kharif,Alluvial Sandy Loam,5.5,6.8,"Paddy, Mustard, Tea, Maize, Ginger",arunachal pradesh|lohit|kharif|alluvial sandy loam
Arunachal Pradesh,Lohit,Rabi,Alluvial Sandy Loam,5.5,6.8,"Mustard, Potato, Pulses, Vegetables",arunachal pradesh|lohit|rabi|alluvial sandy loam
Arunachal Pradesh,Lohit,Zaid,Alluvial Sandy Loam,5.5,6.8,"Watermelon, Cucurbits, Cowpea, Vegetables",arunachal pradesh|lohit|zaid|alluvial sandy loam
Arunachal Pradesh,Longding,Kharif,Red Sandy Clay Loam / Acidic Soil,4.8,6.0,"Jhum Rice, Maize, Tapioca, Millets, Chillies",arunachal pradesh|longding|kharif|red sandy clay loam / acidic soil
Arunachal Pradesh,Longding,Rabi,Red Sandy Clay Loam / Acidic Soil,4.8,6.0,"Mustard, Pulses, Potato",arunachal pradesh|longding|rabi|red sandy clay loam / acidic soil
Arunachal Pradesh,Longding,Zaid,Red Sandy Clay Loam / Acidic Soil,4.8,6.0,"Cowpea, Local Vegetables, Cucurbits",arunachal pradesh|longding|zaid|red sandy clay loam / acidic soil
Arunachal Pradesh,Lower Dibang Valley,Kharif,Fertile Alluvial / Silt Loam,5.2,6.5,"Paddy, Ginger, Mustard, Maize, Tea",arunachal pradesh|lower dibang valley|kharif|fertile alluvial / silt loam
Arunachal Pradesh,Lower Dibang Valley,Rabi,Fertile Alluvial / Silt Loam,5.2,6.5,"Mustard, Potato, Pulses, Vegetables",arunachal pradesh|lower dibang valley|rabi|fertile alluvial / silt loam
Arunachal Pradesh,Lower Dibang Valley,Zaid,Fertile Alluvial / Silt Loam,5.2,6.5,"Watermelon, Cucurbits, Cowpea, Fodder Maize",arunachal pradesh|lower dibang valley|zaid|fertile alluvial / silt loam
Arunachal Pradesh,Lower Siang,Kharif,Alluvial Clay Loam,5.2,6.5,"Paddy, Maize, Citrus, Ginger, Turmeric",arunachal pradesh|lower siang|kharif|alluvial clay loam
Arunachal Pradesh,Lower Siang,Rabi,Alluvial Clay Loam,5.2,6.5,"Mustard, Potato, Pulses, Cabbage",arunachal pradesh|lower siang|rabi|alluvial clay loam
Arunachal Pradesh,Lower Siang,Zaid,Alluvial Clay Loam,5.2,6.5,"Watermelon, Cucurbits, Vegetables",arunachal pradesh|lower siang|zaid|alluvial clay loam
Arunachal Pradesh,Lower Subansiri,Kharif,Highland Acidic Clay Loam (Ziro Valley),4.8,6.0,"Paddy (Apatani Fish-Paddy system), Maize, Kiwi, Large Cardamom",arunachal pradesh|lower subansiri|kharif|highland acidic clay loam (ziro valley)
Arunachal Pradesh,Lower Subansiri,Rabi,Highland Acidic Clay Loam (Ziro Valley),4.8,6.0,"Potato, Mustard, Garlic, Peas",arunachal pradesh|lower subansiri|rabi|highland acidic clay loam (ziro valley)
Arunachal Pradesh,Lower Subansiri,Zaid,Highland Acidic Clay Loam (Ziro Valley),4.8,6.0,"Exotic Vegetables, Beans, Cucurbits",arunachal pradesh|lower subansiri|zaid|highland acidic clay loam (ziro valley)
Arunachal Pradesh,Namsai,Kharif,Fertile Alluvial Plain Soil,5.5,6.8,"Paddy, Tea, Maize, Ginger, Turmeric",arunachal pradesh|namsai|kharif|fertile alluvial plain soil
Arunachal Pradesh,Namsai,Rabi,Fertile Alluvial Plain Soil,5.5,6.8,"Mustard, Potato, Lentil, Field Pea, Tomato",arunachal pradesh|namsai|rabi|fertile alluvial plain soil
Arunachal Pradesh,Namsai,Zaid,Fertile Alluvial Plain Soil,5.5,6.8,"Summer Moong, Watermelon, Cucurbits, Vegetables",arunachal pradesh|namsai|zaid|fertile alluvial plain soil
Arunachal Pradesh,Pakke Kessang,Kharif,Forest Loamy Acidic Soil,4.8,6.0,"Paddy, Maize, Ginger, Large Cardamom",arunachal pradesh|pakke kessang|kharif|forest loamy acidic soil
Arunachal Pradesh,Pakke Kessang,Rabi,Forest Loamy Acidic Soil,4.8,6.0,"Mustard, Potato, Winter Vegetables",arunachal pradesh|pakke kessang|rabi|forest loamy acidic soil
Arunachal Pradesh,Pakke Kessang,Zaid,Forest Loamy Acidic Soil,4.8,6.0,"Cucumber, Beans, Cowpea",arunachal pradesh|pakke kessang|zaid|forest loamy acidic soil
Arunachal Pradesh,Papum Pare,Kharif,Sub-Tropical Alluvial Loam,5.2,6.5,"Paddy, Maize, Banana, Ginger, Turmeric",arunachal pradesh|papum pare|kharif|sub-tropical alluvial loam
Arunachal Pradesh,Papum Pare,Rabi,Sub-Tropical Alluvial Loam,5.2,6.5,"Mustard, Potato, Tomato, Pulses",arunachal pradesh|papum pare|rabi|sub-tropical alluvial loam
Arunachal Pradesh,Papum Pare,Zaid,Sub-Tropical Alluvial Loam,5.2,6.5,"Watermelon, Cucurbits, Vegetables, Cowpea",arunachal pradesh|papum pare|zaid|sub-tropical alluvial loam
Arunachal Pradesh,Shi Yomi,Kharif,High Alpine Acidic Loam,4.2,5.5,"Maize, Paddy, Large Cardamom, Buckwheat",arunachal pradesh|shi yomi|kharif|high alpine acidic loam
