crop,stage,start_day,end_day,irrigation,irrigation_frequency,critical_irrigation,irrigation_stop_rule,fertilizer,fertilizer_dose,fertilizer_method,organic_management,disease_protection,pest_protection,weather_sensitivity
Rice,Grain Filling & Maturity,100,140,Light irrigation.,Reduce water as crop approaches maturity.,,Drain field completely 12–15 days before harvest.,Spray 1 kg NPK 0-0-50 at milking stage.,1 kg NPK 0-0-50.,Foliar spray.,,Continue monitoring for grain and leaf diseases.,"Gundhi Bug: Chlorpyrifos 1.5% dust or Alphamethrin during morning hours, as specified.",Avoid excessive late-season water.
Corn,Sowing & Seedling,0,15,Light pre-sowing irrigation; avoid waterlogging.,Maintain adequate establishment moisture.,Establishment stage.,,Basal: 40 kg DAP + 20 kg MOP + 10 kg Zinc Sulphate per acre.,40 kg DAP + 20 kg MOP + 10 kg Zinc Sulphate per acre.,Basal application.,,Monitor seedlings for early disease symptoms.,Seed treatment: Thiamethoxam 30 FS (6 ml/kg) for shoot fly.,Avoid waterlogging during seedling establishment.
Corn,Knee-High Stage,25,30,1st critical irrigation.,Critical irrigation at knee-high stage.,Important moisture requirement.,,Top-dress 35 kg Urea.,35 kg Urea per acre.,Top dressing.,100 kg Neem-cake enriched compost.,Monitor crop for leaf and stem symptoms.,Fall Armyworm: Emamectin Benzoate 5% SG (80 g/acre) inside whorls.,Avoid excessive moisture and waterlogging.
Corn,Tasseling & Silking,50,55,2nd critical irrigation; avoid soil drying.,Critical irrigation during tasseling and silking.,Water stress during this stage can substantially reduce yield.,,Top-dress 35 kg Urea + spray NPK 19-19-19 (1 kg).,35 kg Urea + 1 kg NPK 19-19-19 per acre.,Top dressing + foliar spray.,,Monitor for leaf diseases.,FAW / Stem Borer: Chlorantraniliprole 18.5% SC (60 ml/acre) or Bt spray.,Avoid water stress during tasseling and silking.
Corn,Grain Filling & Harvest,75,120,3rd irrigation during dough stage.,Irrigate according to grain filling requirement.,Maintain moisture during grain filling.,Stop irrigation 10 days before harvest.,Spray 1 kg NPK 0-0-50 for kernel sizing.,1 kg NPK 0-0-50 per acre.,Foliar spray.,,Maydis Leaf Blight: Mancozeb 75% WP (600 g/acre).,Monitor grain filling crop for pest damage.,Avoid unnecessary late irrigation.
Potato,Planting & Emergence,0,20,Light irrigation 3–4 days after planting ridges.,Maintain adequate ridge moisture without waterlogging.,Establishment moisture.,,Basal: 75 kg DAP + 50 kg MOP + 10 kg Zinc.,75 kg DAP + 50 kg MOP + 10 kg Zinc per acre.,Basal application.,12 tons FYM + 500 kg Mustard cake.,Dip seed tubers in Trichoderma viride 5% or Emisan-6 0.25% for black scurf.,Monitor emerging plants.,Avoid waterlogging.
Potato,Stolonization & Earthing Up,25,30,Irrigate every 7–10 days; maintain suitable ridge moisture.,"Every 7–10 days, adjusted according to soil moisture and weather.",Maintain adequate moisture for stolonization.,,Top-dress 45 kg Urea during earthing up.,45 kg Urea per acre.,Top dressing during earthing up.,Vermicompost can be integrated according to the management schedule.,Early Blight: Mancozeb 75% WP (600 g/acre).,Monitor crop during earthing up.,High humidity and wet foliage increase blight risk.
Potato,Tuber Initiation & Bulking,50,75,Critical irrigation window; maintain consistent moisture.,Maintain consistent soil moisture.,Critical moisture requirement for tuber initiation and bulking.,,Top-dress 45 kg Urea + Boron 200 g + NPK 0-0-50 (2 kg).,45 kg Urea + 200 g Boron + 2 kg NPK 0-0-50 per acre.,Top dressing + foliar application as applicable.,Maintain soil organic matter and suitable moisture.,Late Blight: Cymoxanil + Mancozeb (Moximate @ 600 g/acre).,Monitor crop for pest and disease symptoms.,Wet and humid conditions increase late blight risk.
Potato,Maturity & Haulm Cutting,85,110,Stop irrigation before haulm cutting.,Reduce water as crop approaches maturity.,,Stop irrigation completely 10–12 days before haulm cutting.,No fertilizer.,,,,Continue field monitoring.,Aphids: Thiamethoxam 25% WG (80 g/acre) as specified.,Avoid excessive moisture close to harvest.
Soybean,Sowing & Germination,0,15,Sown with monsoon rain; ensure good drainage.,Rainfed establishment; irrigate only if necessary.,Avoid waterlogging during germination.,,Basal: 40 kg SSP + 15 kg MOP.,40 kg SSP + 15 kg MOP per acre.,Basal application.,Rhizobium + PSB.,Seed treatment: Carboxin + Thiram 2 g/kg OR Trichoderma 10 g/kg.,Monitor seedlings.,Excess rainfall and poor drainage can damage establishment.
Soybean,Vegetative Growth,20,30,Give light irrigation only if dry spell exceeds 15 days.,Rainfed; supplemental irrigation only during prolonged dry conditions.,,,15 kg Urea only if vegetative growth is weak.,15 kg Urea per acre if required.,Top dressing.,,Monitor leaves and stems for disease symptoms.,Girdle Beetle / Stem Fly: Chlorantraniliprole 18.5% SC (60 ml/acre).,Monitor prolonged dry spells and excessive rainfall.
Soybean,Flowering Stage,45,50,1st critical irrigation if rain fails.,Supplemental irrigation during moisture stress.,Flowering is a critical moisture stage.,,Foliar spray Boron 20% (100 g) + Sulphur 80% WDG (1 kg).,100 g Boron 20% + 1 kg Sulphur 80% WDG per acre.,Foliar spray.,,Monitor flowering crop for disease symptoms.,Tobacco Caterpillar / Pod Borer: Emamectin Benzoate 5% SG (80 g/acre).,Moisture stress during flowering can affect yield.
Soybean,Pod Formation & Filling,65,85,2nd critical irrigation; essential for grain weight.,Supplemental irrigation according to soil moisture.,Pod formation and filling are critical moisture stages.,,Spray NPK 0-52-34 (1 kg/acre).,1 kg NPK 0-52-34 per acre.,Foliar spray.,,Rust & Myrothecium Leaf Spot: Tebuconazole 25.9% EC (250 ml/acre).,Continue pod and foliage monitoring.,Monitor moisture stress and prolonged wetness.
Tomato,Transplanting,0,15,Irrigate immediately after transplanting; then every 4–5 days.,"Every 4–5 days initially, adjusted according to soil moisture.",Maintain uniform establishment moisture.,,Basal: 50 kg DAP + 30 kg MOP + 15 tons FYM per acre.,50 kg DAP + 30 kg MOP + 15 tons FYM per acre.,Basal application.,15 tons FYM per acre.,Dip seedling roots in Pseudomonas fluorescens 10 g/L to prevent bacterial wilt.,Monitor newly transplanted plants.,Avoid waterlogging and transplant shock.
Tomato,Vegetative & Branching,20,30,"Drip irrigation every 2 days for approximately 1–2 hours, adjusted to field conditions.",Every 2 days as baseline; adjust using soil moisture and weather.,Maintain steady moisture.,,Top-dress 25 kg Urea. Drip: NPK 19-19-19 (3 kg/acre weekly).,25 kg Urea + 3 kg NPK 19-19-19 per acre weekly through drip as specified.,Top dressing + fertigation.,,Monitor for early foliar diseases.,Whitefly / Thrips: Imidacloprid 17.8% SL (60 ml) or Fipronil 5% SC (200 ml).,High humidity can increase disease risk.
Tomato,Flowering & Fruit Set,40,50,Regular uniform drip watering to prevent fruit cracking.,Maintain consistent soil moisture.,Uniform moisture is important during flowering and fruit set.,,Fertigation: Calcium Nitrate 5 kg + Boron 250 g per acre.,5 kg Calcium Nitrate + 250 g Boron per acre.,Fertigation / foliar application as applicable.,,Early / Late Blight: Azoxystrobin + Difenoconazole (200 ml/acre).,Monitor flower and fruit set for insect damage.,Rain and high humidity can increase fungal disease risk.
Tomato,Fruit Sizing & Harvesting,60,150,Continuous consistent moisture through harvest.,Maintain consistent moisture according to soil and weather.,Avoid moisture fluctuations.,,Fertigation: NPK 13-0-45 (4 kg/acre) alternate weeks during picking.,4 kg NPK 13-0-45 per acre on alternate weeks.,Fertigation.,,Continue disease monitoring throughout harvest.,Fruit Borer: Spinetoram 11.7% SC (180 ml) or Bt kurstaki.,Avoid large fluctuations in soil moisture; monitor wet weather disease risk.
Pepper,Transplanting,0,15,Irrigate immediately after planting; drip every 2–3 days.,"Every 2–3 days initially, adjusted by soil moisture.",Establishment moisture.,,Basal: 40 kg DAP + 25 kg MOP + 10 tons Vermicompost.,40 kg DAP + 25 kg MOP + 10 tons Vermicompost per acre.,Basal application.,10 tons Vermicompost per acre.,"Drench root zone with Carbendazim 1 g/L for damping off, as specified.",Monitor transplant establishment.,Avoid waterlogging.
Pepper,Vegetative Growth,20,35,Regular light watering; avoid soil saturation.,Light irrigation according to soil moisture.,,,Top-dress 20 kg Urea.,20 kg Urea per acre.,Top dressing.,3% Panchagavya spray.,Monitor foliage and root zone.,Thrips: Fipronil 5% SC (200 ml) or Spinetoram (160 ml).,Avoid prolonged soil saturation.
Pepper,Flowering & Fruiting,45,70,Maintain steady soil moisture.,Regular irrigation according to soil moisture.,Maintain moisture during flowering and fruiting.,,Fertigation: Calcium Nitrate 5 kg + Micronutrients 500 g.,5 kg Calcium Nitrate + 500 g Micronutrients per acre.,Fertigation.,,Monitor fruit and foliage for fungal disease symptoms.,Mites & Whitefly: Spiromesifen 22.9% SC (200 ml/acre).,High humidity can increase pest and disease pressure.
Pepper,Continuous Picking,75,150,Irrigate after every harvest picking pass.,"After picking, adjusted according to soil moisture.",Maintain moisture throughout repeated harvests.,,Apply NPK 13-0-45 (3 kg/acre) every 10 days.,3 kg NPK 13-0-45 per acre every 10 days.,Fertigation/application according to crop system.,,Anthracnose / Fruit Rot: Difenoconazole 25% EC (150 ml/acre).,Continue monitoring during picking.,Wet and humid weather increases fruit rot risk.
Squash,Sowing & Vining,0,20,Irrigate on alternate days until vines establish.,Alternate-day irrigation initially; adjust to soil moisture.,Establishment and early vine growth.,,Basal: 30 kg DAP + 20 kg Potash + 10 tons FYM per acre.,30 kg DAP + 20 kg Potash + 10 tons FYM per acre.,Basal application.,Soak seeds in 3% Panchagavya for 3 hours before sowing.,Monitor seedlings and young vines.,Monitor for early cucurbit pests.,Avoid excessive soil moisture.
Squash,Flowering,35,45,Critical irrigation window.,Maintain adequate moisture during flowering.,Critical moisture requirement.,,Top-dress 20 kg Urea + micronutrient mix spray.,20 kg Urea per acre + micronutrient mix.,Top dressing + foliar spray.,,Downy Mildew: Metalaxyl 8% + Mancozeb 64% WP (500 g/acre).,Monitor flowers for insect activity.,High humidity and prolonged leaf wetness increase downy mildew risk.
Squash,Fruit Sizing & Harvest,50,110,Irrigate every 3–4 days during fruiting.,"Every 3–4 days during fruit development, adjusted by soil moisture.",Critical moisture during fruit expansion.,,Spray NPK 13-0-45 (1 kg/acre) + Boron (100 g).,1 kg NPK 13-0-45 + 100 g Boron per acre.,Foliar spray.,,Continue monitoring for powdery/downy mildew and fruit diseases.,Fruit Fly: Pheromone traps (10/acre) + Malathion as specified.,Moisture stress affects fruit expansion; humid weather increases disease risk.
Strawberry,Runner Planting,0,15,Daily light drip irrigation under plastic mulch.,Daily light drip.,Maintain root-zone moisture.,,Basal: 20 kg DAP + 10 tons Organic Compost per acre.,20 kg DAP + 10 tons organic compost per acre.,Basal application.,Dip roots in Trichoderma harzianum + VAM slurry before planting.,Monitor for root and crown diseases.,Monitor newly planted runners.,Maintain moisture under mulch without waterlogging.
Strawberry,Crown & Leaf Growth,20,35,Drip irrigate every 2 days.,"Every 2 days, adjusted to soil moisture.",Maintain root-zone moisture.,,Fertigation: NPK 19-19-19 (2 kg/acre weekly).,2 kg NPK 19-19-19 per acre weekly.,Fertigation.,,Monitor leaves and crown for disease symptoms.,Spider Mites / Aphids: Abamectin 1.9% EC (150 ml) or Neem oil.,Hot/dry conditions may increase mite pressure.
Strawberry,Bloom & Fruit Development,40,80,Maintain continuous root-zone moisture.,Continuous drip according to crop demand.,Consistent moisture during fruit development.,,Fertigation: Calcium Nitrate 3 kg + NPK 0-0-50 3 kg.,3 kg Calcium Nitrate + 3 kg NPK 0-0-50 per acre.,Fertigation.,,Fruit Rot (Botrytis): Pyraclostrobin or Switch (Cyprodinil + Fludioxonil).,Continue fruit-stage pest monitoring.,High humidity and wet fruit increase Botrytis risk.
Raspberry,Spring Bud Break,1,30,Irrigate every 7–10 days.,"Every 7–10 days, adjusted to soil moisture.",Maintain adequate moisture during bud break.,,Apply NPK 10-10-10 (20 kg/acre) + well-rotted manure.,20 kg NPK 10-10-10 per acre + well-rotted manure.,Soil application.,Well-rotted manure.,Crown Gall / Cane Blight: Copper Hydroxide 2 g/L.,Monitor new shoots and canes.,Excess moisture can increase cane disease risk.
Raspberry,Bloom & Fruit Set,35,60,Critical irrigation window; keep soil moist.,Maintain moisture during bloom and fruit set.,Critical moisture requirement.,,Top-dress 10 kg Urea + Fish Amino Acid spray (2 ml/L).,10 kg Urea per acre; Fish Amino Acid 2 ml/L.,Top dressing + foliar spray.,Fish Amino Acid 2 ml/L.,Monitor fruit and canes for disease.,Raspberry Beetle / SWD Fly: Spinetoram or Deltamethrin.,Maintain moisture but avoid waterlogging.
Raspberry,Fruit Ripening & Harvest,60,110,Irrigate every 3–5 days.,Every 3–5 days; increase frequency during fruit sizing.,Maintain moisture during fruit sizing.,,Potassium Sulphate / NPK 0-0-50 at 1 kg/acre.,1 kg NPK 0-0-50 per acre.,Application according to crop system.,,Powdery Mildew: Wettable Sulphur 80% WP (2 g/L).,Continue monitoring during harvest.,Avoid excessive moisture around ripening.
Grape,Post-Pruning & Bud Break,1,25,Heavy irrigation immediately after pruning.,Heavy irrigation at bud break followed by crop-specific drip management.,Bud break establishment.,,Basal: DAP + FYM + 19-19-19 soluble fertilizer.,DAP + FYM + 19-19-19 according to crop plan.,Basal application/fertigation.,FYM.,Monitor young shoots and leaves.,Flea Beetle: Carbaryl or Imidacloprid 17.8% SL.,Monitor humidity and rainfall around young foliage.
Grape,Flower Initiation & Berry Set,30,50,Moderate regular drip irrigation.,Regular moderate drip.,Maintain adequate moisture during flowering and berry set.,,Fertigation: Calcium Nitrate + Boron spray for berry setting.,Calcium Nitrate + Boron according to crop plan.,Fertigation + foliar spray.,,Downy Mildew: Bordeaux Mixture 1% or Metalaxyl + Mancozeb.,Monitor berry set for insect damage.,High humidity and wet conditions increase downy mildew risk.
Grape,Veraison (Coloring & Sugar),65,100,Reduce irrigation by approximately 30–40% to build Brix sugar.,Reduced irrigation according to crop and soil condition.,Avoid excessive water during veraison.,,Fertigation: Sulphate of Potash (0-0-50) + Wood Ash extract.,Sulphate of Potash + Wood Ash extract.,Fertigation/application.,Wood Ash extract.,Powdery Mildew & Mealybug: Myclobutanil + Buprofezin 25% SC.,Monitor mealybug and other fruit pests.,Avoid excess moisture during ripening.
Grape,Harvest,110,160,Stop irrigation before picking.,Reduce and stop according to harvest timing.,,Stop irrigation completely 10 days before picking.,No fertilizer.,,,,Monitor fruit health.,Monitor fruit flies; use yellow sticky traps.,Avoid excess irrigation close to harvest.
Apple,Pink Bud & Bloom,1,30,Rely on snowmelt/light irrigation according to field condition.,Light irrigation as needed.,Maintain suitable moisture during bloom.,,Apply 50 kg FYM + 500 g NPK per tree according to tree age in late winter.,"50 kg FYM + 500 g NPK per tree, adjusted by tree age.",Soil application.,FYM.,Apple Scab: Dodine 65% WP (75 g/100 L) or Captan 50% WP.,Monitor buds and flowers.,Wet bloom conditions can increase disease risk.
Apple,Petal Fall & Fruit Set,35,60,Irrigate every 10–12 days.,"Every 10–12 days, adjusted to soil moisture.",Maintain moisture during fruit set.,,Foliar spray Boron 0.1% + Zinc Sulphate 0.2%.,Boron 0.1% + Zinc Sulphate 0.2%.,Foliar spray.,,Monitor fruit set and foliage.,San Jose Scale / Mites: Superior Horticultural Mineral Oil 1.5%.,Monitor humidity and rainfall for disease pressure.
Apple,Fruit Expansion,70,130,Critical moisture window; irrigate every 7–10 days.,"Every 7–10 days, adjusted according to soil moisture.",Fruit expansion requires adequate moisture.,,Foliar spray Calcium Nitrate 0.5% to prevent bitter pit.,Calcium Nitrate 0.5%.,Foliar spray.,,Codling Moth / Blight: Chlorantraniliprole 18.5% SC (0.2 ml/L) as specified.,Continue codling moth monitoring.,Moisture stress affects fruit expansion.
Apple,Maturity & Harvest,140,180,Light watering; avoid heavy watering before picking.,Light irrigation according to field condition.,,,Spray high potash (0-0-50) for fruit color and firmness.,NPK 0-0-50 according to crop plan.,Foliar spray.,,"Pre-harvest Difenoconazole for storage rot prevention, as specified.",Continue harvest-stage monitoring.,Avoid heavy irrigation immediately before picking.
Peach,Bloom & Petal Fall,1,30,Light irrigation during bloom.,Light irrigation according to soil condition.,Maintain adequate moisture during bloom.,,Apply 30 kg organic manure + NPK base dose per tree.,30 kg organic manure + NPK base dose per tree.,Soil application.,Organic manure.,Leaf Curl: Copper Oxychloride 3 g/L pre-bloom.,Monitor bloom and young foliage.,Wet conditions can increase leaf disease risk.
Peach,Pit Hardening,45,60,Critical irrigation window; approximately 10-day intervals.,"Every 10 days, adjusted according to soil moisture.",Pit hardening is a critical moisture stage.,,Top-dress Urea 150 g/tree + micronutrients.,150 g Urea per tree + micronutrients.,Top dressing.,,Monitor fruit and foliage for disease symptoms.,Peach Fruit Borer: Emamectin Benzoate 5% SG (0.4 g/L).,Avoid moisture stress during pit hardening.
Peach,Final Fruit Growth & Harvest,75,130,Regular irrigation every 7–10 days.,"Every 7–10 days, adjusted to soil moisture.",Maintain moisture during final fruit growth.,,Spray Potassium Sulphate 1% for fruit weight.,Potassium Sulphate 1%.,Foliar spray.,,Brown Rot: Tebuconazole 25.9% EC (1 ml/L).,Continue harvest-stage monitoring.,Wet conditions around ripening increase brown rot risk.
Cherry,Bloom & Fruit Set,1,30,Spring baseline moisture; irrigate every 10–12 days.,"Every 10–12 days, adjusted to soil moisture.",Maintain adequate bloom and fruit-set moisture.,,NPK 15-15-15 (500 g/tree) + Vermicompost.,500 g NPK 15-15-15 per tree + Vermicompost.,Soil application.,Vermicompost.,Leaf Spot: Mancozeb 75% WP (2.5 g/L) or Copper Hydroxide.,Monitor flowers and young fruit.,Wet conditions can increase leaf spot risk.
Cherry,Fruit Expansion,35,60,Moderate irrigation; avoid sudden flooding.,Moderate irrigation according to soil moisture.,Maintain steady moisture.,,Foliar spray Urea 0.5% + Calcium extract.,Urea 0.5% + Calcium extract.,Foliar spray.,,Monitor fruit and foliage.,Cherry Fruit Fly: Acetamiprid 20% SP (0.2 g/L).,Avoid sudden water changes that may contribute to fruit cracking.
Cherry,Ripening & Harvest,60,90,Limit watering before harvest to reduce fruit cracking risk.,Reduced watering close to harvest.,,,Apply potassium-solubilizing biofertilizer.,Potassium-solubilizing biofertilizer.,Soil/application according to product instructions.,,Brown Rot: Fenbuconazole or Propiconazole.,Continue fruit fly monitoring.,Avoid heavy watering near harvest to reduce splitting.
Blueberry,Bud Break & Bloom,1,30,Continuous drip using acidic water with pH 4.5–5.5.,Continuous drip according to root-zone moisture.,Never allow root zone to dry.,,Drench Ammonium Sulphate + Ericoid Mycorrhizae.,Ammonium Sulphate according to crop plan.,Drench/application.,Ericoid Mycorrhizae.,Mummy Berry: Tebuconazole or Captan.,Monitor buds and flowers.,Maintain acidic root-zone conditions and avoid drought stress.
Blueberry,Fruit Set & Sizing,35,70,High moisture requirement; 2–3 day drip cycle.,"Every 2–3 days as baseline, adjusted to telemetry.",Maintain steady root-zone moisture.,,Acidic NPK 12-12-12 + Iron Chelates (Fe-EDDHA).,Acidic NPK 12-12-12 + Fe-EDDHA according to crop plan.,Fertigation/application.,,Monitor fruit and foliage.,Blueberry Maggot / Aphids: Spinosad 45% SC or Insecticidal Soap.,Avoid drying of root zone.
Blueberry,Harvest Window,80,120,Maintain steady drip moisture throughout picking passes.,Continuous steady drip according to soil moisture.,Maintain root-zone moisture throughout harvest.,,Spray Potassium Sulphate.,Potassium Sulphate according to crop plan.,Application according to crop system.,,Anthracnose Fruit Rot: Azoxystrobin 23% SC.,Continue fruit-stage pest monitoring.,Avoid drought stress and monitor wet-weather disease risk.
Orange,Ambe Bahar Bloom,1,30,1st heavy irrigation after breaking stress period.,"Heavy irrigation at the start of bloom, followed by scheduled management.",Stress break irrigation is critical for bloom initiation.,,Apply 50 kg FYM + 500 g NPK + 2 kg Neem Cake per tree.,50 kg FYM + 500 g NPK + 2 kg Neem Cake per tree.,Soil application.,FYM + Neem Cake.,Monitor new flush and flowers.,Citrus Psylla / Thrips: Imidacloprid 17.8% SL (0.5 ml/L).,Monitor heat and rainfall during flowering.
Orange,Fruit Drop & Setting,60,120,Irrigate every 7–10 days during hot summer.,Every 7–10 days in hot conditions.,Maintain adequate moisture during fruit setting.,,Top-dress Urea 250 g/tree + Zinc/Iron spray.,250 g Urea per tree + Zinc/Iron spray.,Top dressing + foliar spray.,,"Citrus Canker: Streptocycline 1 g/10 L + Copper Oxychloride 3 g/L, as specified.",Monitor fruit setting and sucking pests.,Heat and moisture stress can affect fruit retention.
Orange,Fruit Expansion,180,240,Irrigate every 12–15 days.,"Every 12–15 days, adjusted according to soil moisture.",Maintain adequate moisture during fruit expansion.,,Apply SSP 1 kg + MOP 300 g per tree.,1 kg SSP + 300 g MOP per tree.,Soil application.,,Monitor fruit and root zone for disease symptoms.,Fruit Fly: Install Methyl Eugenol Pheromone Traps (10/acre).,Adjust irrigation according to rainfall and soil moisture.
Orange,Maturation & Harvest,270,360,Light irrigation; reduce watering before picking.,According to soil moisture and season.,,Reduce watering approximately 2 weeks before picking.,Spray NPK 0-0-50 (1%) for peel color and juice quality.,NPK 0-0-50 at 1%.,Foliar spray.,,Phytophthora (Gummosis): Ridomil Gold 2.5 g/L as specified.,Continue fruit and orchard monitoring until harvest.,Avoid excess irrigation near harvest.
